id_wikidata,material,grade
Q11016,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q6123913,Tecnología,scuola media italiana
Q1034411,Tecnología,scuola media italiana
Q1034411,Tecnología,scuola media italiana
Q1170080,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q7406919,Tecnología,scuola media italiana
Q1379672,Tecnología,scuola media italiana
Q1379672,Tecnología,scuola media italiana
Q11016,Tecnología,scuola media italiana
Q11016,Tecnología,scuola media italiana
Q1340162,Matemática,scuola media italiana
Q11024,Tecnología,scuola media italiana
Q11024,Tecnología,scuola media italiana
Q1228250,Tecnología,scuola media italiana
Q1228250,Tecnología,scuola media italiana
Q8063,Ciencias naturales,scuola media italiana
Q11028,Tecnología,scuola media italiana
Q1078351,Tecnología,scuola media italiana
Q1078351,Tecnología,scuola media italiana
Q170584,Tecnología,scuola media italiana
Q5852578,Tecnología,scuola media italiana
Q5852578,Tecnología,scuola media italiana
Q6152049,Tecnología,scuola media italiana
Q6942562,Música,scuola media italiana
Q5839490,Artes Visuales,scuola media italiana
Q862597,Música,scuola media italiana
Q977090,Ciencias naturales,scuola media italiana
Q7942,Inglés,scuola media italiana
Q170593,Artes Visuales,scuola media italiana
Q28573,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q32090,Inglés,scuola media italiana
Q28823,Tecnología,scuola media italiana
Q178605,Ciencias naturales,scuola media italiana
Q1048818,Tecnología,scuola media italiana
Q942582,Tecnología,scuola media italiana
Q901870,Ciencias naturales,scuola media italiana
Q5852582,Tecnología,scuola media italiana
Q5852582,Tecnología,scuola media italiana
Q5852582,Tecnología,scuola media italiana
Q6581072,Artes Visuales,scuola media italiana
Q5916724,Ciencias naturales,scuola media italiana
Q7463524,Tecnología,scuola media italiana
Q1141745,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q5402094,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q5863459,Música,scuola media italiana
Q6140109,Tecnología,scuola media italiana
Q1149672,Ciencias naturales,scuola media italiana
Q1225029,Tecnología,scuola media italiana
Q1058748,Tecnología,scuola media italiana
Q35986,Tecnología,scuola media italiana
Q1231428,Tecnología,scuola media italiana
Q8432,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q28923,Tecnología,scuola media italiana
Q5672073,Música,scuola media italiana
Q5870714,Ciencias naturales,scuola media italiana
Q167172,Artes Visuales,scuola media italiana
Q6111379,Música,scuola media italiana
Q1165839,Matemática,scuola media italiana
Q37739,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q11345,Matemática,scuola media italiana
Q10291312,Tecnología,scuola media italiana
Q40260,Ciencias naturales,scuola media italiana
Q42982,Ciencias naturales,scuola media italiana
Q1451575,Artes Visuales,scuola media italiana
Q12199,Ciencias naturales,scuola media italiana
Q188930,Ciencias naturales,scuola media italiana
Q11402,Ciencias naturales,scuola media italiana
Q11435,Ciencias naturales,scuola media italiana
Q48349,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q44946,Matemática,scuola media italiana
Q185698,Tecnología,scuola media italiana
Q11432,Ciencias naturales,scuola media italiana
Q47069,Ciencias naturales,scuola media italiana
Q7692527,Tecnología,scuola media italiana
Q36810,Matemática,scuola media italiana
Q206615,Tecnología,scuola media italiana
Q206615,Tecnología,scuola media italiana
Q206615,Tecnología,scuola media italiana
Q206615,Tecnología,scuola media italiana
Q9066946,Ciencias naturales,scuola media italiana
Q190667,Tecnología,scuola media italiana
Q190667,Tecnología,scuola media italiana
Q11042,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q37038,Artes Visuales,scuola media italiana
Q37038,Tecnología,scuola media italiana
Q38746,Tecnología,scuola media italiana
Q11474,Tecnología,scuola media italiana
Q205555,Inglés,scuola media italiana
Q12147,Educación Física y Salud,scuola media italiana
Q193529,Ciencias naturales,scuola media italiana
Q212976,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q9067310,Tecnología,scuola media italiana
Q184793,Tecnología,scuola media italiana
Q210272,Tecnología,scuola media italiana
Q10269116,Tecnología,scuola media italiana
Q9064330,Artes Visuales,scuola media italiana
Q42329,Tecnología,scuola media italiana
Q219142,Matemática,scuola media italiana
Q211294,Matemática,scuola media italiana
Q1415049,Tecnología,scuola media italiana
Q44528,Matemática,scuola media italiana
Q240673,Tecnología,scuola media italiana
Q240673,Tecnología,scuola media italiana
Q192521,Tecnología,scuola media italiana
Q192521,Tecnología,scuola media italiana
Q192521,Tecnología,scuola media italiana
Q192521,Tecnología,scuola media italiana
Q192521,Tecnología,scuola media italiana
Q202763,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q193642,Tecnología,scuola media italiana
Q193642,Tecnología,scuola media italiana
Q1385450,Tecnología,scuola media italiana
Q1385450,Tecnología,scuola media italiana
Q11229,Matemática,scuola media italiana
Q185020,Matemática,scuola media italiana
Q205034,Matemática,scuola media italiana
Q11395,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q196751,Tecnología,scuola media italiana
Q205020,Tecnología,scuola media italiana
Q185715,Tecnología,scuola media italiana
Q185715,Tecnología,scuola media italiana
Q185715,Tecnología,scuola media italiana
Q12187,Ciencias naturales,scuola media italiana
Q1439691,Artes Visuales,scuola media italiana
Q219416,Tecnología,scuola media italiana
Q219416,Tecnología,scuola media italiana
Q219416,Tecnología,scuola media italiana
Q219416,Tecnología,scuola media italiana
Q219416,Tecnología,scuola media italiana
Q238231,Matemática,scuola media italiana
Q190258,Tecnología,scuola media italiana
Q190258,Tecnología,scuola media italiana
Q190258,Tecnología,scuola media italiana
Q190258,Tecnología,scuola media italiana
Q190258,Tecnología,scuola media italiana
Q190258,Tecnología,scuola media italiana
Q11663,Ciencias naturales,scuola media italiana
Q11990,Ciencias naturales,scuola media italiana
Q39552,Ciencias naturales,scuola media italiana
Q36774,Tecnología,scuola media italiana
Q36774,Tecnología,scuola media italiana
Q188224,Matemática,scuola media italiana
Q39546,Tecnología,scuola media italiana
Q185957,Tecnología,scuola media italiana
Q185957,Tecnología,scuola media italiana
Q185957,Tecnología,scuola media italiana
Q185957,Tecnología,scuola media italiana
Q185957,Tecnología,scuola media italiana
Q188451,Música,scuola media italiana
Q219534,Tecnología,scuola media italiana
Q183366,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q8084905,Ciencias naturales,scuola media italiana
Q49389,Tecnología,scuola media italiana
Q39825,Matemática,scuola media italiana
Q217602,Tecnología,scuola media italiana
Q40203,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q11633,Artes Visuales,scuola media italiana
Q214981,Música,scuola media italiana
Q12198,Ciencias naturales,scuola media italiana
Q40847,Tecnología,scuola media italiana
Q214609,Tecnología,scuola media italiana
Q214609,Tecnología,scuola media italiana
Q214609,Tecnología,scuola media italiana
Q214609,Tecnología,scuola media italiana
Q214609,Tecnología,scuola media italiana
Q214609,Tecnología,scuola media italiana
Q214609,Tecnología,scuola media italiana
Q42045,Ciencias naturales,scuola media italiana
Q244772,Ciencias naturales,scuola media italiana
Q223266,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q235557,Tecnología,scuola media italiana
Q11634,Artes Visuales,scuola media italiana
Q47728,Inglés,scuola media italiana
Q42253,Tecnología,scuola media italiana
Q8349689,Educación Física y Salud,scuola media italiana
Q43229,Tecnología,scuola media italiana
Q43229,Tecnología,scuola media italiana
Q189214,Música,scuola media italiana
Q11772,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q356192,Matemática,scuola media italiana
Q36534,Ciencias naturales,scuola media italiana
Q11472,Tecnología,scuola media italiana
Q11629,Artes Visuales,scuola media italiana
Q202785,Matemática,scuola media italiana
Q226995,Matemática,scuola media italiana
Q11629,Tecnología,scuola media italiana
Q184204,Ciencias naturales,scuola media italiana
Q217106,Tecnología,scuola media italiana
Q217106,Tecnología,scuola media italiana
Q11266,Tecnología,scuola media italiana
Q11266,Tecnología,scuola media italiana
Q41083,Ciencias naturales,scuola media italiana
Q188417,Ciencias naturales,scuola media italiana
Q42138,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q43619,Tecnología,scuola media italiana
Q43619,Tecnología,scuola media italiana
Q43619,Tecnología,scuola media italiana
Q54277,Tecnología,scuola media italiana
Q122046336,Tecnología,scuola media italiana
Q2187034,Artes Visuales,scuola media italiana
Q62912,Matemática,scuola media italiana
Q28503133,Educación Física y Salud,scuola media italiana
Q2233915,Matemática,scuola media italiana
Q18659417,Matemática,scuola media italiana
Q123196693,Ciencias naturales,scuola media italiana
Q20013708,Tecnología,scuola media italiana
Q119510698,Ciencias naturales,scuola media italiana
Q45422,Ciencias naturales,scuola media italiana
Q25304922,Tecnología,scuola media italiana
Q107393962,Artes Visuales,scuola media italiana
Q109517916,Música,scuola media italiana
Q309100,Tecnología,scuola media italiana
Q309100,Tecnología,scuola media italiana
Q309100,Tecnología,scuola media italiana
Q294440,Artes Visuales,scuola media italiana
Q90257513,Tecnología,scuola media italiana
Q419722,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q1639408,Música,scuola media italiana
Q12453,Tecnología,scuola media italiana
Q260899,Artes Visuales,scuola media italiana
Q66018493,Tecnología,scuola media italiana
Q28501105,Tecnología,scuola media italiana
Q28501105,Tecnología,scuola media italiana
Q104442051,Matemática,scuola media italiana
Q267114,Tecnología,scuola media italiana
Q12834857,Educación Física y Salud,scuola media italiana
Q49908,Matemática,scuola media italiana
Q46272775,Tecnología,scuola media italiana
Q46272775,Tecnología,scuola media italiana
Q51379,Matemática,scuola media italiana
Q17166101,Tecnología,scuola media italiana
Q14349455,Ciencias naturales,scuola media italiana
Q15542961,Tecnología,scuola media italiana
Q21573683,Tecnología,scuola media italiana
Q21573683,Tecnología,scuola media italiana
Q21573683,Tecnología,scuola media italiana
Q53875,Matemática,scuola media italiana
Q12882296,Ciencias naturales,scuola media italiana
Q207628,Música,scuola media italiana
Q7558495,Música,scuola media italiana
Q24961133,Educación Física y Salud,scuola media italiana
Q15404978,Artes Visuales,scuola media italiana
Q45867,Matemática,scuola media italiana
Q855395,Artes Visuales,scuola media italiana
Q10614739,Matemática,scuola media italiana
Q20154908,Matemática,scuola media italiana
Q12542,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q10621500,Matemática,scuola media italiana
Q11921029,Música,scuola media italiana
Q84036549,Tecnología,scuola media italiana
Q123577965,Inglés,scuola media italiana
Q12503,Matemática,scuola media italiana
Q59616986,Inglés,scuola media italiana
Q271680,Tecnología,scuola media italiana
Q3918409,Tecnología,scuola media italiana
Q18460285,Música,scuola media italiana
Q46303,Matemática,scuola media italiana
Q12176552,Tecnología,scuola media italiana
Q14890574,Ciencias naturales,scuola media italiana
Q58778,Tecnología,scuola media italiana
Q58778,Tecnología,scuola media italiana
Q58778,Tecnología,scuola media italiana
Q287198,Tecnología,scuola media italiana
Q320389,Tecnología,scuola media italiana
Q320389,Tecnología,scuola media italiana
Q50701,Matemática,scuola media italiana
Q31212677,Inglés,scuola media italiana
Q11780457,Ciencias naturales,scuola media italiana
Q25592213,Inglés,scuola media italiana
Q20078723,Ciencias naturales,scuola media italiana
Q11259415,Tecnología,scuola media italiana
Q26180896,Tecnología,scuola media italiana
Q36993249,Tecnología,scuola media italiana
